Description,Category
advil medicine clinic,Health
taco bell payment,Food
chevron,Transport
haircut salon store,Personal Care
taco bell order,Food
dog food bag,Pets
cinema membership,Entertainment
trash collection payment,Utilities
coursera subscription fee,Education
resort fee reservation,Travel
ikea checkout,Shopping
hertz car rental reservation,Travel
taco bell order,Food
sewer bill payment,Utilities
shampoo and soap appointment,Personal Care
advil medicine health,Health
quest diagnostics,Health
airbnb booking trip,Travel
hospital copay health,Health
starbucks payment,Food
dentist office health,Health
petco visit,Pets
internet broadband fee,Utilities
public transit ride,Transport
barber shop store,Personal Care
uber to resort,Travel
expedia flight booking,Travel
att mobile payment,Utilities
coursera subscription online,Education
hertz car rental reservation,Travel
notebooks and pens store,Education
student loan payment,Education
apartment rent fee,Utilities
nike store,Shopping
chewy online,Pets
prescription refill clinic,Health
manicure pedicure appointment,Personal Care
nike store,Shopping
barber shop routine,Personal Care
khan academy donation online,Education
ulta beauty,Personal Care
sewer bill fee,Utilities
urgent care clinic,Health
apartment rent monthly,Utilities
urgent care health,Health
college textbook store,Education
school supplies store,Education
first aid kit,Health
water bill payment,Utilities
public transit ticket,Transport
college textbook online,Education
home depot online,Shopping
playstation subscription,Entertainment
student loan payment fee,Education
steam games,Entertainment
pizza hut payment,Food
marriott hotel trip,Travel
school supplies,Education
chipotle purchase,Food
water bill monthly,Utilities
marriott hotel trip,Travel
nike,Shopping
whole foods payment,Food
petco supplies,Pets
day spa appointment,Personal Care
metro ride,Transport
kroger order,Food
notebooks and pens online,Education
metro ticket,Transport
apartment rent,Utilities
bus pass,Transport
starbucks order,Food
hulu premium,Entertainment
eye doctor bill,Health
hbo max,Entertainment
airbnb booking booking,Travel
petco visit,Pets
udemy course store,Education
xbox subscription,Entertainment
ikea checkout,Shopping
delta airlines ticket,Transport
barber shop store,Personal Care
chipotle,Food
best buy checkout,Shopping
water bill fee,Utilities
hertz car rental,Travel
eye doctor clinic,Health
trash collection fee,Utilities
chewy online visit,Pets
starbucks order,Food
att mobile payment,Utilities
petco store,Pets
pet grooming store,Pets
hulu,Entertainment
cinema,Entertainment
nike checkout,Shopping
flea medication store,Pets
target store,Shopping
starbucks payment,Food
disney plus,Entertainment
chewy online,Pets
subway purchase,Food
pet grooming supplies,Pets
bus pass ticket,Transport
metro ticket,Transport
mcdonalds order,Food
marriott hotel,Travel
khan academy donation fee,Education
student loan payment store,Education
electric bill,Utilities
luggage bag reservation,Travel
steam games membership,Entertainment
steam games subscription,Entertainment
shell gas ride,Transport
chewy online,Pets
home depot store,Shopping
uber ticket,Transport
petsmart store,Pets
pet grooming visit,Pets
mcdonalds purchase,Food
macys online,Shopping
sephora cosmetics appointment,Personal Care
target checkout,Shopping
pet grooming,Pets
college textbook fee,Education
ebay checkout,Shopping
apple store,Shopping
kroger,Food
netflix subscription,Entertainment
vacation cruise reservation,Travel
exxonmobil ride,Transport
college textbook store,Education
starbucks purchase,Food
dog walker store,Pets
eye doctor,Health
barber shop appointment,Personal Care
playstation membership,Entertainment
cvs pharmacy clinic,Health
advil medicine health,Health
xbox subscription,Entertainment
first aid kit health,Health
walgreens bill,Health
trash collection,Utilities
flea medication supplies,Pets
day spa,Personal Care
bus pass,Transport
hospital copay clinic,Health
pizza hut order,Food
student loan payment online,Education
cvs pharmacy clinic,Health
uber ticket,Transport
ebay online,Shopping
airbnb booking,Travel
school supplies fee,Education
advil medicine clinic,Health
petsmart store,Pets
sephora cosmetics appointment,Personal Care
nike store,Shopping
day spa,Personal Care
airbnb booking reservation,Travel
ebay checkout,Shopping
starbucks payment,Food
sephora cosmetics store,Personal Care
hertz car rental booking,Travel
walgreens,Health
nike,Shopping
quest diagnostics bill,Health
vacation cruise booking,Travel
cat litter,Pets
marriott hotel reservation,Travel
udemy course,Education
hertz car rental,Travel
playstation premium,Entertainment
chipotle purchase,Food
petco visit,Pets
expedia flight trip,Travel
eye doctor bill,Health
coursera subscription,Education
barber shop appointment,Personal Care
marriott hotel trip,Travel
uber,Transport
hertz car rental trip,Travel
chewy online,Pets
expedia flight trip,Travel
resort fee booking,Travel
quest diagnostics health,Health
advil medicine clinic,Health
flea medication store,Pets
expedia flight booking,Travel
lyft ride,Transport
lyft,Transport
skincare products appointment,Personal Care
flea medication store,Pets
first aid kit health,Health
student loan payment online,Education
barber shop appointment,Personal Care
apartment rent fee,Utilities
shell gas,Transport
chewy online store,Pets
notebooks and pens,Education
att mobile fee,Utilities
vacation cruise booking,Travel
walmart store,Shopping
skincare products store,Personal Care
shampoo and soap,Personal Care
haircut salon routine,Personal Care
trash collection payment,Utilities
internet broadband payment,Utilities
bus pass ticket,Transport
notebooks and pens store,Education
khan academy donation store,Education
school supplies,Education
playstation membership,Entertainment
khan academy donation,Education
mcdonalds purchase,Food
spotify,Entertainment
vacation cruise trip,Travel
university tuition fee,Education
school supplies store,Education
chevron ticket,Transport
chevron station,Transport
airbnb booking booking,Travel
trash collection monthly,Utilities
concert ticket subscription,Entertainment
delta airlines ride,Transport
target checkout,Shopping
luggage bag,Travel
macys,Shopping
local bakery payment,Food
subway purchase,Food
macys store,Shopping
dog food bag supplies,Pets
dentist office bill,Health
wendys,Food
notebooks and pens online,Education
spotify membership,Entertainment
taco bell payment,Food
pizza hut,Food
quest diagnostics clinic,Health
starbucks payment,Food
resort fee trip,Travel
coursera subscription fee,Education
macys checkout,Shopping
college textbook store,Education
college textbook,Education
dog food bag store,Pets
chevron ticket,Transport
coursera subscription online,Education
hospital copay clinic,Health
notebooks and pens,Education
khan academy donation store,Education
apple store,Shopping
ulta beauty routine,Personal Care
dog walker supplies,Pets
cat litter visit,Pets
ulta beauty appointment,Personal Care
notebooks and pens,Education
school supplies online,Education
college textbook store,Education
hulu subscription,Entertainment
uber ride,Transport
hertz car rental trip,Travel
metro ride,Transport
eye doctor,Health
resort fee booking,Travel
notebooks and pens,Education
kroger order,Food
verizon payment,Utilities
skincare products,Personal Care
verizon monthly,Utilities
local bakery purchase,Food
water bill fee,Utilities
coursera subscription fee,Education
luggage bag trip,Travel
trash collection payment,Utilities
walmart online,Shopping
subway order,Food
quest diagnostics clinic,Health
cinema,Entertainment
skincare products,Personal Care
hospital copay clinic,Health
expedia flight booking,Travel
prescription refill,Health
sewer bill monthly,Utilities
vacation cruise trip,Travel
shell gas,Transport
cat litter supplies,Pets
internet broadband fee,Utilities
att mobile fee,Utilities
quest diagnostics clinic,Health
university tuition fee,Education
airbnb booking booking,Travel
steam games,Entertainment
shampoo and soap routine,Personal Care
udemy course,Education
cvs pharmacy clinic,Health
public transit ticket,Transport
electric bill payment,Utilities
mcdonalds purchase,Food
mcdonalds payment,Food
shell gas ride,Transport
vacation cruise trip,Travel
coursera subscription fee,Education
pet grooming visit,Pets
mcdonalds purchase,Food
khan academy donation fee,Education
ebay online,Shopping
hospital copay clinic,Health
delta airlines,Transport
cvs pharmacy clinic,Health
steam games subscription,Entertainment
uber to resort reservation,Travel
electric bill fee,Utilities
dentist office bill,Health
dog food bag visit,Pets
dentist office health,Health
resort fee booking,Travel
dog food bag supplies,Pets
chipotle payment,Food
apple store checkout,Shopping
petco supplies,Pets
urgent care,Health
marriott hotel trip,Travel
petsmart,Pets
eye doctor clinic,Health
day spa store,Personal Care
best buy online,Shopping
haircut salon routine,Personal Care
udemy course store,Education
hertz car rental booking,Travel
hulu membership,Entertainment
electric bill fee,Utilities
electric bill monthly,Utilities
hospital copay clinic,Health
electric bill monthly,Utilities
delta airlines ticket,Transport
prescription refill health,Health
luggage bag booking,Travel
college textbook online,Education
university tuition online,Education
wendys,Food
resort fee reservation,Travel
netflix premium,Entertainment
skincare products appointment,Personal Care
shell gas station,Transport
trash collection,Utilities
prescription refill bill,Health
lyft ride,Transport
dentist office bill,Health
